n,R,d,I,Rapprox
206,0.2588,0.0134,0.2516,0.2749
207,0.2598,0.01338,0.2516,0.2749
208,0.2597,0.01335,0.2516,0.2748
209,0.2587,0.01332,0.2516,0.2747
210,0.2597,0.0133,0.2516,0.2747
211,0.2596,0.01327,0.2516,0.2746
212,0.2586,0.01325,0.2516,0.2746
213,0.2596,0.01322,0.2516,0.2745
214,0.2594,0.0132,0.2516,0.2745
215,0.2585,0.01317,0.2516,0.2744
216,0.2594,0.01315,0.2516,0.2744
217,0.2593,0.01312,0.2516,0.2743
218,0.2584,0.0131,0.2516,0.2743
219,0.2593,0.01307,0.2516,0.2742
220,0.2592,0.01305,0.2516,0.2742
221,0.2583,0.01302,0.2516,0.2741
222,0.2592,0.013,0.2516,0.2741
223,0.2591,0.01298,0.2516,0.274
224,0.2582,0.01295,0.2516,0.274
225,0.2591,0.01293,0.2516,0.2739
226,0.259,0.01291,0.2516,0.2739
227,0.2581,0.01288,0.2516,0.2738
228,0.259,0.01286,0.2516,0.2738
229,0.2589,0.01284,0.2516,0.2737
230,0.258,0.01281,0.2516,0.2737
231,0.2589,0.01279,0.2516,0.2736
232,0.2588,0.01277,0.2516,0.2736
233,0.258,0.01275,0.2516,0.2735
234,0.2588,0.01272,0.2516,0.2735
235,0.2587,0.0127,0.2516,0.2734
236,0.2579,0.01268,0.2516,0.2734
237,0.2587,0.01266,0.2516,0.2733
238,0.2586,0.01264,0.2516,0.2733
239,0.2578,0.01261,0.2516,0.2732
240,0.2573,0.01259,0.2516,0.2732
241,0.2585,0.01257,0.2516,0.2732
242,0.2577,0.01255,0.2516,0.2731
243,0.2573,0.01253,0.2516,0.2731
244,0.2584,0.01251,0.2516,0.273
245,0.2577,0.01249,0.2516,0.273
246,0.2572,0.01247,0.2516,0.2729
247,0.2583,0.01245,0.2516,0.2729
248,0.2576,0.01243,0.2516,0.2728
249,0.2571,0.0124,0.2516,0.2728
250,0.2583,0.01238,0.2516,0.2728
251,0.2575,0.01236,0.2516,0.2727
252,0.2571,0.01234,0.2516,0.2727
253,0.2582,0.01232,0.2516,0.2726
254,0.2575,0.0123,0.2516,0.2726
255,0.257,0.01228,0.2516,0.2726
256,0.2581,0.01226,0.2516,0.2725
257,0.2574,0.01225,0.2516,0.2725
258,0.2569,0.01223,0.2516,0.2724
259,0.258,0.01221,0.2516,0.2724
260,0.2573,0.01219,0.2516,0.2723
261,0.2569,0.01217,0.2516,0.2723
262,0.2579,0.01215,0.2516,0.2723
263,0.2573,0.01213,0.2516,0.2722
264,0.2568,0.01211,0.2516,0.2722
265,0.2579,0.01209,0.2516,0.2722
266,0.2572,0.01207,0.2516,0.2721
267,0.2568,0.01205,0.2516,0.2721
268,0.2578,0.01204,0.2516,0.272
269,0.2571,0.01202,0.2516,0.272
270,0.2567,0.012,0.2516,0.272
271,0.2577,0.01198,0.2516,0.2719
272,0.2571,0.01196,0.2516,0.2719
273,0.2566,0.01195,0.2516,0.2718
274,0.2576,0.01193,0.2516,0.2718
275,0.257,0.01191,0.2516,0.2718
276,0.2566,0.01189,0.2516,0.2717
277,0.2576,0.01187,0.2516,0.2717
278,0.257,0.01186,0.2516,0.2717
279,0.2565,0.01184,0.2516,0.2716
280,0.2575,0.01182,0.2516,0.2716
281,0.2569,0.0118,0.2516,0.2716
282,0.2565,0.01179,0.2516,0.2715
283,0.2574,0.01177,0.2516,0.2715
284,0.2576,0.01175,0.2516,0.2715
285,0.2564,0.01174,0.2516,0.2714
286,0.2561,0.01172,0.2516,0.2714
287,0.2576,0.0117,0.2516,0.2714
288,0.2564,0.01169,0.2516,0.2713
289,0.256,0.01167,0.2516,0.2713
290,0.2575,0.01165,0.2516,0.2712
291,0.2563,0.01164,0.2516,0.2712
292,0.256,0.01162,0.2516,0.2712
293,0.2574,0.0116,0.2516,0.2711
294,0.2563,0.01159,0.2516,0.2711
295,0.256,0.01157,0.2516,0.2711
296,0.2574,0.01155,0.2516,0.271
297,0.2562,0.01154,0.2516,0.271
298,0.2559,0.01152,0.2516,0.271
299,0.2573,0.01151,0.2516,0.271
300,0.2562,0.01149,0.2516,0.2709
301,0.2559,0.01147,0.2516,0.2709
302,0.2573,0.01146,0.2516,0.2709
303,0.2561,0.01144,0.2516,0.2708
304,0.2558,0.01143,0.2516,0.2708
305,0.2572,0.01141,0.2516,0.2708
306,0.2561,0.0114,0.2516,0.2707
307,0.2558,0.01138,0.2516,0.2707
308,0.2571,0.01137,0.2516,0.2707
309,0.256,0.01135,0.2516,0.2706
310,0.2557,0.01134,0.2516,0.2706
311,0.2571,0.01132,0.2516,0.2706
312,0.256,0.01131,0.2516,0.2705
313,0.2557,0.01129,0.2516,0.2705
314,0.257,0.01128,0.2516,0.2705
315,0.256,0.01126,0.2516,0.2705
316,0.2557,0.01125,0.2516,0.2704
317,0.2569,0.01123,0.2516,0.2704
318,0.2559,0.01122,0.2516,0.2704
319,0.2556,0.0112,0.2516,0.2703
320,0.2569,0.01119,0.2516,0.2703
321,0.2559,0.01117,0.2516,0.2703
322,0.2556,0.01116,0.2516,0.2702
323,0.2568,0.01115,0.2516,0.2702
324,0.2558,0.01113,0.2516,0.2702
325,0.2556,0.01112,0.2516,0.2702
326,0.2568,0.0111,0.2516,0.2701
327,0.2558,0.01109,0.2516,0.2701
328,0.2555,0.01107,0.2516,0.2701
329,0.2567,0.01106,0.2516,0.27
330,0.2557,0.01105,0.2516,0.27
331,0.2555,0.01103,0.2516,0.27
332,0.2567,0.01102,0.2516,0.27
333,0.2557,0.01101,0.2516,0.2699
334,0.2557,0.01099,0.2516,0.2699
335,0.2549,0.01098,0.2516,0.2699
336,0.2557,0.01096,0.2516,0.2699
337,0.2556,0.01095,0.2516,0.2698
338,0.2549,0.01094,0.2516,0.2698
339,0.2556,0.01092,0.2516,0.2698
340,0.2556,0.01091,0.2516,0.2697
341,0.2548,0.0109,0.2516,0.2697
342,0.2556,0.01088,0.2516,0.2697
343,0.2555,0.01087,0.2516,0.2697
344,0.2548,0.01086,0.2516,0.2696
345,0.2556,0.01085,0.2516,0.2696
346,0.2555,0.01083,0.2516,0.2696
347,0.2548,0.01082,0.2516,0.2696
348,0.2555,0.01081,0.2516,0.2695
349,0.2554,0.01079,0.2516,0.2695
350,0.2548,0.01078,0.2516,0.2695
351,0.2555,0.01077,0.2516,0.2695
352,0.2554,0.01076,0.2516,0.2694
353,0.2547,0.01074,0.2516,0.2694
354,0.2554,0.01073,0.2516,0.2694
355,0.2554,0.01072,0.2516,0.2694
356,0.2547,0.01071,0.2516,0.2693
357,0.2554,0.01069,0.2516,0.2693
358,0.2553,0.01068,0.2516,0.2693
359,0.2547,0.01067,0.2516,0.2693
360,0.2554,0.01066,0.2516,0.2692
361,0.2553,0.01064,0.2516,0.2692
362,0.2546,0.01063,0.2516,0.2692
363,0.2553,0.01062,0.2516,0.2692
364,0.2553,0.01061,0.2516,0.2691
